Sex,Site,State,Year,Rate
Both,All Sites,Michigan,2012,166.1
Both,All Sites,Minnesota,2012,162.6
Both,All Sites,Missouri,2012,162.8
Both,All Sites,Mississippi,2012,163.9
Both,All Sites,Montana,2012,155.4
Both,All Sites,North Carolina,2012,167.8
Both,All Sites,North Dakota,2012,163
Both,All Sites,Nebraska,2012,154.7
Both,All Sites,New Hampshire,2012,176.6
Both,All Sites,New Jersey,2012,171.6
Both,All Sites,New Mexico,2012,141.4
Both,All Sites,Nevada,2012,129
Both,All Sites,New York,2012,175
Both,All Sites,Ohio,2012,163.7
Both,All Sites,Oklahoma,2012,153.6
Both,All Sites,Oregon,2012,153.5
Both,All Sites,Pennsylvania,2012,179.6
Both,All Sites,Rhode Island,2012,177.9
Both,All Sites,South Carolina,2012,158.7
Both,All Sites,South Dakota,2012,167.1
Both,All Sites,Tennessee,2012,173.3
Both,All Sites,Texas,2012,146.6
Both,All Sites,Utah,2012,148.2
Both,All Sites,Virginia,2012,147.4
Both,All Sites,Vermont,2012,173.5
Both,All Sites,Washington,2012,159.4
Both,All Sites,Wisconsin,2012,164
Both,All Sites,West Virginia,2012,186
Both,All Sites,Wyoming,2012,150.3
Both,All Sites,Alaska,2013,144.7
Both,All Sites,Alabama,2013,149.6
Both,All Sites,Arkansas,2013,161.3
Both,All Sites,Arizona,2013,138.5
Both,All Sites,California,2013,140.4
Both,All Sites,Colorado,2013,143.3
Both,All Sites,Connecticut,2013,177.9
Both,All Sites,District of Columbia,2013,168.8
Both,All Sites,Delaware,2013,185.9
Both,All Sites,Florida,2013,169.1
Both,All Sites,Georgia,2013,156.4
Both,All Sites,Hawaii,2013,171.2
Both,All Sites,Idaho,2013,148
Both,All Sites,Illinois,2013,157.1
Both,All Sites,Indiana,2013,162.3
Both,All Sites,Iowa,2013,169.1
Both,All Sites,Kansas,2013,162.6
Both,All Sites,Kentucky,2013,180.9
Both,All Sites,Louisiana,2013,165.1
Both,All Sites,Massachusetts,2013,166.3
Both,All Sites,Maryland,2013,160.3
Both,All Sites,Maine,2013,166.9
Both,All Sites,Michigan,2013,165.8
Both,All Sites,Minnesota,2013,162.3
Both,All Sites,Missouri,2013,158
Both,All Sites,Mississippi,2013,161.2
Both,All Sites,Montana,2013,148.5
Both,All Sites,North Carolina,2013,167.2
Both,All Sites,North Dakota,2013,166.1
Both,All Sites,Nebraska,2013,163.6
Both,All Sites,New Hampshire,2013,169.4
Both,All Sites,New Jersey,2013,174.9
Both,All Sites,New Mexico,2013,135.2
Both,All Sites,Nevada,2013,133.1
Both,All Sites,New York,2013,179.5
Both,All Sites,Ohio,2013,162.9
Both,All Sites,Oklahoma,2013,162.2
Both,All Sites,Oregon,2013,153.3
Both,All Sites,Pennsylvania,2013,180.9
Both,All Sites,Rhode Island,2013,174.3
Both,All Sites,South Carolina,2013,161.3
Both,All Sites,South Dakota,2013,163.1
Both,All Sites,Tennessee,2013,166
Both,All Sites,Texas,2013,148.1
Both,All Sites,Utah,2013,151.4
Both,All Sites,Virginia,2013,151
Both,All Sites,Vermont,2013,169.2
Both,All Sites,Washington,2013,154.3
Both,All Sites,Wisconsin,2013,162.8
Both,All Sites,West Virginia,2013,174.4
Both,All Sites,Wyoming,2013,135.4
Both,All Sites,Alaska,2014,148.3
Both,All Sites,Alabama,2014,158.4
Both,All Sites,Arkansas,2014,172.8
Both,All Sites,Arizona,2014,140.7
Both,All Sites,California,2014,141.1
Both,All Sites,Colorado,2014,144.5
Both,All Sites,Connecticut,2014,177.7
Both,All Sites,District of Columbia,2014,169.8
Both,All Sites,Delaware,2014,175.6
Both,All Sites,Florida,2014,172
Both,All Sites,Georgia,2014,158.7
Both,All Sites,Hawaii,2014,161.3
Both,All Sites,Idaho,2014,154
Both,All Sites,Illinois,2014,158.8
Both,All Sites,Indiana,2014,164.3
Both,All Sites,Iowa,2014,176.9
Both,All Sites,Kansas,2014,165.3
Both,All Sites,Kentucky,2014,194.1
Both,All Sites,Louisiana,2014,175
Both,All Sites,Massachusetts,2014,170.2
Both,All Sites,Maryland,2014,157.4
Both,All Sites,Maine,2014,179.1
Both,All Sites,Michigan,2014,162.2
Both,All Sites,Minnesota,2014,162.5
Both,All Sites,Missouri,2014,162.3
